image_path,label,source,mask_path,exists_mask,device,year,id_patient
data/raw/0/Messidor_20051020_43808_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_43808_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_44284_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_44284_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_44261_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_44261_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_44400_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_44400_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_44431_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_44431_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_44692_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_44692_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_44338_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_44338_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_44714_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_44714_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_44982_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_44982_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_56791_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_56791_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_57157_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_57157_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_57967_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_57967_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_58065_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_58065_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_61757_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_61757_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_62461_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_62461_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_62510_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_62510_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_62615_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_62615_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_62577_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_62577_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_63269_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_63269_0100_PP_mask.png,True,,,
data/raw/0/Messidor_20051020_64249_0100_PP.png,0,Messidor,data/raw/0/Messidor_20051020_64249_0100_PP_mask.png,True,,,
